,job_title,location,category,type
0,CYBERSECURITY PRINCIPAL-ARCHITECT - IAM (Identity Access Management),"Austin, TX",Technology,Corporate/Other
1,CYBERSECURITY PRINCIPAL-ARCHITECT – Data Security,"Austin, TX",Technology,Corporate/Other
2,SR SOFTWARE ENGINEER - SAP Functional - Financial Group Reporting,"Atlanta, GA",Technology,Corporate/Other
3,SR SOFTWARE ENGINEER - SAP Functional Analyst (Group Reporting),"Atlanta, GA",Technology,Corporate/Other
0,Sr. Project/Process Analyst,"Atlanta, GA",Human Resources,Corporate/Other
1,Lead UX User Researcher,"Atlanta, GA",Services,Corporate/Other
2,Lead User Experience Architect - Online,"Atlanta, GA",E-Commerce,Corporate/Other
3,SR SOFTWARE ENGINEER - SAP P2P (Functional),"Atlanta, GA",Technology,Corporate/Other
4,SR PICK DEVELOPER,"Mount Laurel, NJ",Technology,Corporate/Other
5,CYBERSECURITY MANAGER – Network and Perimeter Security,"Austin, TX",Technology,Corporate/Other
6,CYBERSECURITY MANAGER - IAM (Identity Access Management),"Austin, TX",Technology,Corporate/Other
7,CYBERSECURITY MANAGER – Endpoint Security,"Austin, TX",Technology,Corporate/Other
8,CYBERSECURITY PRINCIPAL-ARCHITECT – Endpoint Security,"Austin, TX",Technology,Corporate/Other
9,CYBERSECURITY PRINCIPAL-ARCHITECT – Network and Perimeter Security,"Austin, TX",Technology,Corporate/Other
0,"Systems Engineer Principal/Architect - Data Security – Crypto, PKI and Encryption","Austin, TX",Technology,Corporate/Other
1,Cybersecurity Senior Manager -  Identity & Access Management and PAM,"Austin, TX",Technology,Corporate/Other
2,Cybersecurity Senior Manager -  Identity & Access Management and PAM,"Austin, TX",Technology,Corporate/Other
3,HDQC Manager of Software Engineering - SRE,"Vancouver, WA",Technology,Corporate/Other
4,GC SOFTWARE ENGINEER,"Houston, TX",E-Commerce,Corporate/Other
5,SR SOFTWARE ENGINEER,"Atlanta, GA",Technology,Corporate/Other
6,QUALITY ASSURANCE ENGINEER,"Atlanta, GA",Logistics/Supply Chain/Import,Corporate/Other
7,ENGINEER QUALITY ASSURANCE,"Atlanta, GA",Engineering,Corporate/Other
8,MANAGER DC ENGINEERING,"Atlanta, GA",Logistics/Supply Chain/Import,Corporate/Other
9,The Home Depot PRO - UX User Researcher,"Jacksonville, FL",E-Commerce,Corporate/Other
0,SOFTWARE ENGINEER SR MANAGER,"Atlanta, GA",Technology,Corporate/Other
1,Software Engineer Senior Manager,"Austin, TX",Technology,Corporate/Other
2,Software Engineer Senior Manager,"Atlanta, GA",Technology,Corporate/Other
3,Systems Engineer Principal - Security,"Atlanta, GA",Technology,Corporate/Other
4,Systems Engineer Principal - Security,"Austin, TX",Technology,Corporate/Other
5,Systems Engineer Principal-Infrastructure,"Austin, TX",Technology,Corporate/Other
6,Systems Engineer Principal- Infrastructure,"Atlanta, GA",Technology,Corporate/Other
7,Staff Software Engineer - OrangeMethod Training,"Atlanta, GA",Technology,Corporate/Other
8,SR SOFTWARE ENGINEER - SAP ABAP/PI (Functional),"Austin, TX",Technology,Corporate/Other
9,SOFTWARE ENGINEER SR MANAGER - Home Services,"Atlanta, GA",Technology,Corporate/Other
0,CYBERSECURITY STAFF-LEAD ENGINEER - IAM (Identity Access Management),"Austin, TX",Technology,Corporate/Other
1,CYBERSECURITY SENIOR ENGINEER – Endpoint Security,"Austin, TX",Technology,Corporate/Other
2,SOFTWARE ENGINEER - Home Services,"Austin, TX",Technology,Corporate/Other
3,Software Engineer Principal - Data Science,"Atlanta, GA",Technology,Corporate/Other
4,SR SOFTWARE ENGINEER - Home Services,"Atlanta, GA",Technology,Corporate/Other
5,Principal Engineer - Data Science,"Atlanta, GA",Technology,Corporate/Other
6,SR ENGINEER QUALITY ASSURANCE,"Atlanta, GA",Engineering,Corporate/Other
7,HDQC Software Engineer II - SRE,"Vancouver, WA",Technology,Corporate/Other
8,SOFTWARE ENGINEER MANAGER - Home Services,"Austin, TX",Technology,Corporate/Other
9,SR SOFTWARE ENGINEER - Home Services,"Austin, TX",Technology,Corporate/Other
0,STAFF SOFTWARE ENGINEER - Home Services,"Austin, TX",Technology,Corporate/Other
1,CYBERSECURITY SENIOR ENGINEER – Network and Perimeter Security,"Austin, TX",Technology,Corporate/Other
2,CYBERSECURITY STAFF-LEAD ENGINEER – Endpoint Security,"Austin, TX",Technology,Corporate/Other
3,MOBILE SOFTWARE ENGINEER MANAGER,"Austin, TX",Technology,Corporate/Other
4,LEAD PRODUCT ENGINEER,"Atlanta, GA",Logistics/Supply Chain/Import,Corporate/Other
5,"Systems Engineer Senior Manager - Network Security, IR and Resiliency","Atlanta, GA",Technology,Corporate/Other
6,Software Engineer Manager- Reliability Engineering,"Atlanta, GA",Technology,Corporate/Other
7,SOFTWARE ENGINEER - Home Services,"Atlanta, GA",Technology,Corporate/Other
8,Software Engineer Manager-Reliability Engineering,"Austin, TX",Technology,Corporate/Other
9,CYBERSECURITY SENIOR ENGINEER - Data Security,"Austin, TX",Technology,Corporate/Other
