,location
"Austin, TX",45
"Atlanta, GA",43
"Houston, TX",3
"Vancouver, WA",2
"Jacksonville, FL",1
"Indianapolis, IN",1
"Phoenix, AZ",1
"San Mateo, CA",1
"Rancho Cucamonga, CA",1
"Mira Loma, CA",1
"Dallas, TX",1
